"""date'""","""Total-Tests-Daily""","""Past-7-Days-Daily-Average"""
2021-04-20,461175,941823
2021-04-19,559471,1091589
2021-04-18,481544,1153405
2021-04-17,887605,1171791
2021-04-16,1305188,1180666
2021-04-15,1349626,1189820
2021-04-14,1548153,1199803
2021-04-13,1509538,1200065
2021-04-12,992183,1198517
2021-04-11,610242,1187368
2021-04-10,949731,1179845
2021-04-09,1369264,1179590
2021-04-08,1419511,1170968
2021-04-07,1549987,1170159
2021-04-06,1498700,1170590
2021-04-05,914143,1171562
2021-04-04,557578,1181617
2021-04-03,947945,1190076
2021-04-02,1308909,1195423
2021-04-01,1413853,1201440
2021-03-31,1553004,1203103
2021-03-30,1505504,1214045
2021-03-29,984528,1213572
2021-03-28,616788,1209279
2021-03-27,985375,1207578
2021-03-26,1351025,1206373
2021-03-25,1425499,1202268
2021-03-24,1629594,1206123
2021-03-23,1502192,1201197
2021-03-22,954478,1197401